climate_cell,cell_ID,RCNII,X_L93,Y_L93
1,79402,81.5,-256997,266942
2,79403,100,-256997,267442
2,79404,75.5,-256997,267942
2,79405,75.5,-256997,268442
2,79406,100,-256997,268942
2,79407,75.5,-256997,269442
2,79408,100,-256997,269942
2,79409,100,-256997,270442
2,79410,100,-256997,270942
2,79412,67.5,-256997,271942
2,79413,100,-256997,272442
2,79414,67.5,-256997,272942
2,79415,79,-256997,273442
2,79416,79,-256997,273942
2,79417,79,-256997,274442
2,79767,75.5,-256497,267442
2,79768,79,-256497,267942
2,79769,79,-256497,268442
2,79770,75.5,-256497,268942
2,79771,100,-256497,269442
2,79772,100,-256497,269942
2,79773,100,-256497,270442
2,79776,67.5,-256497,271942
2,79777,100,-256497,272442
2,79778,67.5,-256497,272942
2,79779,67.5,-256497,273442
2,79780,100,-256497,273942
2,79781,100,-256497,274442
2,79782,79,-256497,274942
2,79783,100,-256497,275442
2,79784,67.5,-256497,275942
2,79785,67.5,-256497,276442
2,79786,100,-256497,276942
2,79787,100,-256497,277442
2,79788,67.5,-256497,277942
2,79789,67.5,-256497,278442
2,80134,79,-255997,267942
2,80135,67.5,-255997,268442
2,80136,67.5,-255997,268942
2,80137,100,-255997,269442
2,80138,100,-255997,269942
2,80143,67.5,-255997,272442
2,80144,100,-255997,272942
2,80145,67.5,-255997,273442
2,80146,67.5,-255997,273942
2,80147,67.5,-255997,274442
2,80148,61.5,-255997,274942
2,80149,67.5,-255997,275442
2,80150,100,-255997,275942
2,80151,100,-255997,276442
2,80152,67.5,-255997,276942
2,80153,100,-255997,277442
2,80154,100,-255997,277942
2,80155,67.5,-255997,278442
2,80499,79,-255497,267942
2,80500,67.5,-255497,268442
2,80501,100,-255497,268942
2,80502,100,-255497,269442
2,80503,100,-255497,269942
2,80510,67.5,-255497,273442
2,80511,67.5,-255497,273942
2,80512,100,-255497,274442
2,80513,79,-255497,274942
2,80865,67.5,-254997,268442
2,80866,79,-254997,268942
2,80867,100,-254997,269442
3,79790,67.5,-256497,278942
3,79791,100,-256497,279442
3,79792,67.5,-256497,279942
3,80156,67.5,-255997,278942
4,73679,66,-264997,263942
4,73680,88,-264997,264442
4,73681,100,-264997,264942
4,73682,75.5,-264997,265442
4,73683,23.5,-264997,265942
4,73684,23.5,-264997,266442
4,73685,23.5,-264997,266942
4,73686,23.5,-264997,267442
4,74031,100,-264497,263942
4,74032,88,-264497,264442
4,74033,100,-264497,264942
4,74034,75.5,-264497,265442
4,74035,23.5,-264497,265942
4,74036,23.5,-264497,266442
4,74037,23.5,-264497,266942
4,74038,23.5,-264497,267442
4,74384,100,-263997,263942
4,74385,100,-263997,264442
4,74386,88,-263997,264942
4,74387,39,-263997,265442
4,74388,23.5,-263997,265942
4,74389,23.5,-263997,266442
4,74390,100,-263997,266942
4,74391,100,-263997,267442
4,74737,100,-263497,263942
4,74738,100,-263497,264442
4,74739,75.5,-263497,264942
4,74740,66,-263497,265442
4,74741,23.5,-263497,265942
4,74742,23.5,-263497,266442
4,74743,100,-263497,266942
4,74744,23.5,-263497,267442
4,75092,100,-262997,264442
4,75093,100,-262997,264942
4,75094,23.5,-262997,265442
4,75095,66,-262997,265942
4,75096,61.5,-262997,266442
4,75097,75.5,-262997,266942
4,75098,23.5,-262997,267442
4,75446,100,-262497,264442
4,75447,100,-262497,264942
4,75448,23.5,-262497,265442
4,75449,23.5,-262497,265942
4,75450,23.5,-262497,266442
4,75451,100,-262497,266942
4,75452,100,-262497,267442
4,75801,61.5,-261997,264942
4,75802,23.5,-261997,265442
4,75803,23.5,-261997,265942
4,75804,23.5,-261997,266442
4,75805,23.5,-261997,266942
4,75806,54,-261997,267442
4,76156,61.5,-261497,264942
4,76157,23.5,-261497,265442
4,76158,72,-261497,265942
4,76159,100,-261497,266442
4,76160,23.5,-261497,266942
4,76161,78.5,-261497,267442
4,76512,54,-260997,265442
4,76513,72,-260997,265942
4,76514,72,-260997,266442
4,76515,23.5,-260997,266942
4,76516,23.5,-260997,267442
4,76869,54,-260497,265442
4,76870,54,-260497,265942
4,76871,72,-260497,266442
4,76872,54,-260497,266942
4,76873,54,-260497,267442
4,77226,54,-259997,265442
4,77227,54,-259997,265942
4,77228,72,-259997,266442
4,77229,72,-259997,266942
4,77230,100,-259997,267442
4,77587,54,-259497,265942
4,77588,72,-259497,266442
4,77589,72,-259497,266942
4,77590,72,-259497,267442
4,77948,75.5,-258997,265942
4,77949,100,-258997,266442
4,77950,72,-258997,266942
4,77951,72,-258997,267442
4,78310,75.5,-258497,265942
4,78311,100,-258497,266442
4,78312,72,-258497,266942
4,78313,72,-258497,267442
4,78673,75.5,-257997,265942
4,78674,75.5,-257997,266442
4,78675,100,-257997,266942
4,79037,100,-257497,266442
4,79038,100,-257497,266942
5,73687,23.5,-264997,267942
5,74039,23.5,-264497,267942
5,74040,100,-264497,268442
5,74041,23.5,-264497,268942
5,74042,100,-264497,269442
5,74043,54,-264497,269942
5,74044,100,-264497,270442
5,74045,100,-264497,270942
5,74046,100,-264497,271442
5,74047,100,-264497,271942
5,74048,100,-264497,272442
5,74049,100,-264497,272942
5,74050,100,-264497,273442
5,74051,100,-264497,273942
5,74052,100,-264497,274442
5,74053,54,-264497,274942
5,74054,79,-264497,275442
5,74055,79,-264497,275942
5,74056,67.5,-264497,276442
5,74057,67.5,-264497,276942
5,74058,67.5,-264497,277442
5,74059,74,-264497,277942
5,74060,67.5,-264497,278442
5,74392,39,-263997,267942
5,74393,23.5,-263997,268442
5,74394,54,-263997,268942
5,74395,54,-263997,269442
5,74396,54,-263997,269942
5,74397,54,-263997,270442
5,74398,54,-263997,270942
5,74399,80,-263997,271442
5,74400,100,-263997,271942
5,74401,100,-263997,272442
5,74402,100,-263997,272942
5,74403,100,-263997,273442
5,74404,100,-263997,273942
5,74405,67.5,-263997,274442
5,74406,100,-263997,274942
5,74407,67.5,-263997,275442
5,74408,79,-263997,275942
5,74409,67.5,-263997,276442
5,74410,79,-263997,276942
5,74411,74,-263997,277442
5,74412,67.5,-263997,277942
5,74413,23.5,-263997,278442
5,74745,23.5,-263497,267942
5,74746,61,-263497,268442
5,74747,72,-263497,268942
5,74748,54,-263497,269442
5,74749,54,-263497,269942
5,74750,54,-263497,270442
5,74751,54,-263497,270942
5,74752,75.5,-263497,271442
5,74753,100,-263497,271942
5,74754,75.5,-263497,272442
5,74755,80,-263497,272942
5,74756,75.5,-263497,273442
5,74757,75.5,-263497,273942
5,74758,79,-263497,274442
5,74759,79,-263497,274942
5,74760,67.5,-263497,275442
5,74761,100,-263497,275942
5,74762,100,-263497,276442
5,74763,100,-263497,276942
5,74764,100,-263497,277442
5,74765,23.5,-263497,277942
5,74766,23.5,-263497,278442
5,75099,54,-262997,267942
5,75100,54,-262997,268442
5,75101,54,-262997,268942
5,75102,54,-262997,269442
5,75103,54,-262997,269942
5,75104,54,-262997,270442
5,75105,61,-262997,270942
5,75106,75.5,-262997,271442
5,75107,100,-262997,271942
5,75108,80,-262997,272442
5,75109,75.5,-262997,272942
5,75110,75.5,-262997,273442
5,75111,81.5,-262997,273942
5,75112,79,-262997,274442
5,75113,100,-262997,274942
5,75114,100,-262997,275442
5,75115,67.5,-262997,275942
5,75116,100,-262997,276442
5,75117,100,-262997,276942
5,75118,100,-262997,277442
5,75119,23.5,-262997,277942
5,75120,23.5,-262997,278442
5,75453,100,-262497,267942
5,75454,72,-262497,268442
5,75455,72,-262497,268942
5,75456,72,-262497,269442
5,75457,61,-262497,269942
5,75458,72,-262497,270442
5,75459,54,-262497,270942
5,75460,100,-262497,271442
5,75461,80,-262497,271942
5,75462,100,-262497,272442
5,75463,100,-262497,272942
5,75464,100,-262497,273442
5,75465,81.5,-262497,273942
5,75466,100,-262497,274442
5,75467,100,-262497,274942
5,75468,100,-262497,275442
5,75469,100,-262497,275942
5,75470,67.5,-262497,276442
5,75471,100,-262497,276942
5,75472,23.5,-262497,277442
5,75473,23.5,-262497,277942
5,75474,23.5,-262497,278442
5,75807,54,-261997,267942
5,75808,100,-261997,268442
5,75809,61,-261997,268942
5,75810,72,-261997,269442
5,75811,72,-261997,269942
5,75812,54,-261997,270442
5,75813,54,-261997,270942
5,75814,100,-261997,271442
5,75815,75.5,-261997,271942
5,75816,75.5,-261997,272442
5,75817,100,-261997,272942
5,75818,100,-261997,273442
5,75819,100,-261997,273942
5,75820,100,-261997,274442
5,75821,88,-261997,274942
5,75822,75.5,-261997,275442
5,75823,100,-261997,275942
5,75824,100,-261997,276442
5,75825,67.5,-261997,276942
5,75826,23.5,-261997,277442
5,75827,39,-261997,277942
5,75828,100,-261997,278442
5,76162,54,-261497,267942
5,76163,54,-261497,268442
5,76164,54,-261497,268942
5,76165,72,-261497,269442
5,76166,72,-261497,269942
5,76167,54,-261497,270442
5,76168,67.5,-261497,270942
5,76169,100,-261497,271442
5,76170,75.5,-261497,271942
5,76171,100,-261497,272442
5,76172,100,-261497,272942
5,76173,100,-261497,273442
5,76174,67.5,-261497,273942
5,76175,74,-261497,274442
5,76176,100,-261497,274942
5,76177,100,-261497,275442
5,76178,100,-261497,275942
5,76179,100,-261497,276442
5,76180,81.5,-261497,276942
5,76181,100,-261497,277442
5,76182,100,-261497,277942
5,76183,100,-261497,278442
5,76517,78.5,-260997,267942
5,76518,54,-260997,268442
5,76519,54,-260997,268942
5,76520,54,-260997,269442
5,76521,72,-260997,269942
5,76522,23.5,-260997,270442
5,76523,67.5,-260997,270942
5,76524,79,-260997,271442
5,76525,75.5,-260997,271942
5,76526,75.5,-260997,272442
5,76527,67.5,-260997,272942
5,76528,67.5,-260997,273442
5,76529,100,-260997,273942
5,76530,100,-260997,274442
5,76531,100,-260997,274942
5,76532,100,-260997,275442
5,76533,100,-260997,275942
5,76534,81.5,-260997,276442
5,76535,100,-260997,276942
5,76536,80,-260997,277442
5,76537,100,-260997,277942
5,76538,23.5,-260997,278442
5,76874,23.5,-260497,267942
5,76875,66,-260497,268442
5,76876,23.5,-260497,268942
5,76877,54,-260497,269442
5,76878,54,-260497,269942
5,76879,72,-260497,270442
5,76880,79,-260497,270942
5,76881,67.5,-260497,271442
5,76882,75.5,-260497,271942
5,76883,81.5,-260497,272442
5,76884,100,-260497,272942
5,76885,100,-260497,273442
5,76886,100,-260497,273942
5,76887,79,-260497,274442
5,76888,67.5,-260497,274942
5,76889,100,-260497,275442
5,76890,100,-260497,275942
5,76891,100,-260497,276442
5,76892,75.5,-260497,276942
5,76893,100,-260497,277442
5,76894,74,-260497,277942
5,76895,100,-260497,278442
5,77231,23.5,-259997,267942
5,77232,23.5,-259997,268442
5,77233,66,-259997,268942
5,77234,61.5,-259997,269442
5,77235,54,-259997,269942
5,77236,54,-259997,270442
5,77237,23.5,-259997,270942
5,77238,85,-259997,271442
5,77239,67.5,-259997,271942
5,77240,81.5,-259997,272442
5,77241,100,-259997,272942
5,77242,100,-259997,273442
5,77243,100,-259997,273942
5,77244,100,-259997,274442
5,77245,67.5,-259997,274942
5,77246,100,-259997,275442
5,77247,100,-259997,275942
5,77248,100,-259997,276442
5,77249,67.5,-259997,276942
5,77250,100,-259997,277442
5,77251,100,-259997,277942
5,77252,100,-259997,278442
5,77591,54,-259497,267942
5,77592,23.5,-259497,268442
5,77593,23.5,-259497,268942
5,77594,100,-259497,269442
5,77595,67.5,-259497,269942
5,77596,67.5,-259497,270442
5,77597,23.5,-259497,270942
5,77598,39,-259497,271442
5,77599,67.5,-259497,271942
5,77600,67.5,-259497,272442
5,77601,100,-259497,272942
5,77602,100,-259497,273442
5,77603,100,-259497,273942
5,77604,100,-259497,274442
5,77605,54,-259497,274942
5,77606,100,-259497,275442
5,77607,100,-259497,275942
5,77608,100,-259497,276442
5,77609,74,-259497,276942
5,77610,74,-259497,277442
5,77611,100,-259497,277942
5,77612,100,-259497,278442
5,77952,72,-258997,267942
5,77953,23.5,-258997,268442
5,77954,100,-258997,268942
5,77955,100,-258997,269442
5,77956,67.5,-258997,269942
5,77957,100,-258997,270442
5,77958,67.5,-258997,270942
5,77959,23.5,-258997,271442
5,77960,67.5,-258997,271942
5,77961,67.5,-258997,272442
5,77962,100,-258997,272942
5,77963,100,-258997,273442
5,77964,54,-258997,273942
5,77965,54,-258997,274442
5,77966,79,-258997,274942
5,77967,67.5,-258997,275442
5,77968,100,-258997,275942
5,77969,67.5,-258997,276442
5,77970,67.5,-258997,276942
5,77971,74,-258997,277442
5,77972,74,-258997,277942
5,77973,67.5,-258997,278442
5,78314,72,-258497,267942
5,78315,54,-258497,268442
5,78316,75.5,-258497,268942
5,78317,100,-258497,269442
5,78318,100,-258497,269942
5,78319,79,-258497,270442
5,78320,85,-258497,270942
5,78321,67.5,-258497,271442
5,78322,67.5,-258497,271942
5,78323,81.5,-258497,272442
5,78324,100,-258497,272942
5,78325,67.5,-258497,273442
5,78326,67.5,-258497,273942
5,78327,100,-258497,274442
5,78328,100,-258497,274942
5,78329,100,-258497,275442
5,78330,100,-258497,275942
5,78331,67.5,-258497,276442
5,78332,74,-258497,276942
5,78333,67.5,-258497,277442
5,78334,67.5,-258497,277942
5,78335,67.5,-258497,278442
5,78676,100,-257997,267442
5,78677,72,-257997,267942
5,78678,72,-257997,268442
5,78679,81.5,-257997,268942
5,78680,80,-257997,269442
5,78681,75.5,-257997,269942
5,78682,88,-257997,270442
5,78683,85,-257997,270942
5,78684,100,-257997,271442
5,78685,67.5,-257997,271942
5,78686,67.5,-257997,272442
5,78687,67.5,-257997,272942
5,78688,79,-257997,273442
5,78689,79,-257997,273942
5,78690,67.5,-257997,274442
5,78691,67.5,-257997,274942
5,78692,54,-257997,275442
5,78693,100,-257997,275942
5,78694,74,-257997,276442
5,78695,67.5,-257997,276942
5,78696,67.5,-257997,277442
5,78697,100,-257997,277942
5,78698,67.5,-257997,278442
5,79039,100,-257497,267442
5,79040,72,-257497,267942
5,79041,100,-257497,268442
5,79042,100,-257497,268942
5,79043,75.5,-257497,269442
5,79044,100,-257497,269942
5,79045,75.5,-257497,270442
5,79046,75.5,-257497,270942
5,79047,100,-257497,271442
5,79048,67.5,-257497,271942
5,79049,100,-257497,272442
