year,month,day,23701,23702
1961,1,1,,
1961,1,2,,
1961,1,3,,
1961,1,4,,
1961,1,5,,
1961,1,6,,
1961,1,7,,
1961,1,8,,
1961,1,9,,
1961,1,10,,
1961,1,11,,
1961,1,12,,
1961,1,13,,
1961,1,14,,
1961,1,15,,
1961,1,16,,
1961,1,17,,
1961,1,18,,
1961,1,19,,
1961,1,20,,
1961,1,21,,
1961,1,22,,
1961,1,23,,
1961,1,24,,
1961,1,25,,
1961,1,26,,
1961,1,27,,
1961,1,28,,
1961,1,29,,
1961,1,30,,
1961,1,31,,
1961,2,1,,
1961,2,2,,
1961,2,3,,
1961,2,4,,
1961,2,5,,
1961,2,6,,
1961,2,7,,
1961,2,8,,
1961,2,9,,
1961,2,10,,
1961,2,11,,
1961,2,12,,
1961,2,13,,
1961,2,14,,
1961,2,15,,
1961,2,16,,
1961,2,17,,
1961,2,18,,
1961,2,19,,
1961,2,20,,
1961,2,21,,
1961,2,22,,
1961,2,23,,
1961,2,24,,
1961,2,25,,
1961,2,26,,
1961,2,27,,
1961,2,28,,
1961,3,1,,
1961,3,2,,
1961,3,3,,
1961,3,4,,
1961,3,5,,
1961,3,6,,
1961,3,7,,
1961,3,8,,
1961,3,9,,
1961,3,10,,
1961,3,11,,
1961,3,12,,
1961,3,13,,
1961,3,14,,
1961,3,15,,
1961,3,16,,
1961,3,17,,
1961,3,18,,
1961,3,19,,
1961,3,20,,
1961,3,21,,
1961,3,22,,
1961,3,23,,
1961,3,24,,
1961,3,25,,
1961,3,26,,
1961,3,27,,
1961,3,28,,
1961,3,29,,
1961,3,30,,
1961,3,31,,
1961,4,1,,
1961,4,2,,
1961,4,3,,
1961,4,4,,
1961,4,5,,
1961,4,6,,
1961,4,7,,
1961,4,8,,
1961,4,9,,
1961,4,10,,
1961,4,11,,
1961,4,12,,
1961,4,13,,
1961,4,14,,
1961,4,15,,
1961,4,16,,
1961,4,17,,
1961,4,18,,
1961,4,19,,
1961,4,20,,
1961,4,21,,
1961,4,22,,
1961,4,23,,
1961,4,24,,
